term,results_count,times_searched,results_count,,
VLOG,,,,,
Native OCV,,,,,
clock screw,,,,,
clock,8,54,155,TEST,240
glassbox,7,43,56,TEST,30
useful skew,6,34,> 1000,,0
generated clock,9,30,> 500,,13
hide,8,23,25,,15
skew,7,21,> 50,TEST,42
ocv,5,20,34,,14
via,5,19,,,91
power,10,17,,,371
sdc,8,16,,,21
force plan clock,9,16,,,13
slew,9,15,,,
hierarchical,5,14
timing,8,13
partition,2,13
license,8,13
FALSE,9,13
preroute,4,12
pin,5,12
constant cell,6,12
congestion,1,12
super,7,11
latency,6,11
keep,9,11
FLT-8,3,11
feedthrough,3,11
cluster,7,11
clock as data,7,11
Synthesis,3,10
quartz,10,10
pushdown,5,10
force keep,9,10
DDR,3,10
corner,8,10
CONSTANT CELLS,9,10
clock skew,6,10
